filename,complete,dname_f,alg_f,k_or_tol_f,mtype_f,perm_mode_f,omp_threads_f,run_id,alg,mtype,k,tol,dname,dfile,perm_mode,tensor_shape,time_transform_matrix,time_data_to_pystarm,compression_ratio,time_compress_ttm_total,time_slicewise_svd,time_slicewise_svdvals,time_thresholds,time_slicewise_svdks,time_reconstruct_matmul,time_reconstruct_ttm_total,absolute_err,relative_err,norm_original,norm_reconstructed
ncep-air-6_tsvdmii_0.003_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.003,dct,012345,64,run1,tsvdmii,dct,None,0.003,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.00364749098662287,1.6442034393548965e-05,13.427255078067184,6.026720179012045,,1.9815886509604752,1.9126394540071487,3.225158890010789,13.404642487992533,2.9053671211004257,36494.1076728023,0.0029999972946529486,12164713.527524725,12164658.786250707
ncep-air-6_tsvdmii_0.005_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.005,dct,012345,64,run1,tsvdmii,dct,None,0.005,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.0026515930658206344,4.0329061448574066e-05,48.93208419546424,7.012128794915043,,2.2884725159965456,1.8774798579979688,1.6475960270036012,9.242367475060746,2.7082386278780177,60823.47174142035,0.004999992116854782,12164713.527524725,12164561.46809602
ncep-air-6_tsvdmii_0.007_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.007,dct,012345,64,run1,tsvdmii,dct,None,0.007,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.0030289740534499288,1.9827974028885365e-05,170.48545663572318,7.122979584964924,,2.983966685947962,1.8639431920601055,0.9450342380441725,5.670541130006313,3.708625557948835,85152.70578923951,0.006999976250699788,12164713.527524725,12164415.490375927
ncep-air-6_tsvdmii_0.0082_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.0082,dct,012345,64,run1,tsvdmii,dct,None,0.0082,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.0031572149600833654,1.963716931641102e-05,349.28497129095007,6.585763352923095,,2.2952301220502704,1.8724840821232647,0.6715532320085913,4.589681182987988,2.667765802703798,99749.73905513386,0.008199925039700538,12164713.527524725,12164304.550419627
ncep-air-6_tsvdmii_0.0085_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.0085,dct,012345,64,run1,tsvdmii,dct,None,0.0085,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.003008187049999833,1.1041061952710152e-05,416.40280917418426,6.255975197069347,,2.18583852914162,1.8987746459897608,0.6274075889959931,4.72925043082796,2.7090357881970704,103399.1039280951,0.00849992099642438,12164713.527524725,12164274.077441206
ncep-air-6_tsvdmii_0.0088_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.0088,dct,012345,64,run1,tsvdmii,dct,None,0.0088,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.0030072960071265697,3.9014965295791626e-05,496.29896501283037,6.21194746112451,,1.9923928859643638,1.9064816790632904,0.5803762839641422,4.37411267706193,2.562628318089992,107047.86345284016,0.008799867190511823,12164713.527524725,12164242.514876595
ncep-air-6_tsvdmii_0.008_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.008,dct,012345,64,run1,tsvdmii,dct,None,0.008,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.0034420930314809084,1.5569967217743397e-05,310.52487004525983,6.289558584918268,,2.245383523986675,1.8745913389138877,0.720207536011003,4.386393069988117,2.6244248950388283,97316.7587685006,0.007999921950344737,12164713.527524725,12164324.258020418
ncep-air-6_tsvdmii_0.0092_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.0092,dct,012345,64,run1,tsvdmii,dct,None,0.0092,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.003273427952080965,1.2394040822982788e-05,628.2875500700511,6.593054864322767,,2.4608142299111933,1.90357744297944,0.517759945942089,4.190204381942749,2.52137057390064,111913.33342688598,0.0091998330395256,12164713.527524725,12164198.72460173
ncep-air-6_tsvdmii_0.0095_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.0095,dct,012345,64,run1,tsvdmii,dct,None,0.0095,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.0031959800980985165,1.663179136812687e-05,751.0196750303968,6.629513718886301,,2.441823816858232,1.888085309881717,0.5008261029142886,4.123265230096877,2.5454502173233777,115562.2249400062,0.009499790083714432,12164713.527524725,12164164.606661985
ncep-air-6_tsvdmii_0.0098_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.0098,dct,012345,64,run1,tsvdmii,dct,None,0.0098,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.003332363208755851,1.7374055460095406e-05,899.3950207623359,6.405746768694371,,2.4048388490919024,1.9430753258056939,0.45299787912517786,4.221701723057777,2.5479584804270416,119211.84385750993,0.009799806924164135,12164713.527524725,12164129.386934571
ncep-air-6_tsvdmii_0.009_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.009,dct,012345,64,run1,tsvdmii,dct,None,0.009,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.00344568002037704,1.6761943697929382e-05,558.2466318990813,6.130533344577998,,2.183572916081175,1.8800316888373345,0.5596347937826067,4.136270534945652,2.7003654669970274,109481.18242104315,0.008999898121178393,12164713.527524725,12164220.857765485
ncep-air-6_tsvdmii_0.01_dct_012345_16_run1,True,ncep-air-6,tsvdmii,0.01,dct,012345,16,run1,tsvdmii,dct,None,0.01,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.003295478003565222,1.8085003830492496e-05,1015.1187057917222,7.601735397998709,,7.659658303018659,1.9464364260202274,0.5157357699936256,1.7217560969875194,4.934439960052259,121644.73385737231,0.009999802591407958,12164713.527634239,12164105.300618125
ncep-air-6_tsvdmii_0.01_dct_012345_32_run1,True,ncep-air-6,tsvdmii,0.01,dct,012345,32,run1,tsvdmii,dct,None,0.01,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.003315143985673785,1.6622012481093407e-05,1015.1187057917222,8.396581309032626,,3.9093349789618514,1.890228244010359,0.4960460599977523,2.565201738034375,3.163702004996594,121644.73385737225,0.009999802591537068,12164713.527477171,12164105.300618129
ncep-air-6_tsvdmii_0.01_dct_012345_64_run1,True,ncep-air-6,tsvdmii,0.01,dct,012345,64,run1,tsvdmii,dct,None,0.01,ncep-air-6,/global/cfs/cdirs/m4293/taufique/NCEP-NCAR/pressure,"(0, 1, 2, 3, 4, 5)","(73, 144, 17, 4, 365, 10)",0.003267859108746052,2.012890763580799e-05,1015.1187057917222,6.141478857956827,,1.9934423209633678,1.8946347129531205,0.4264041599817574,3.7659388459287584,2.4022931098006666,121644.73385737227,0.00999980259149798,12164713.527524725,12164105.300618123
