filename,complete,dname_f,alg_f,k_or_tol_f,mtype_f,perm_mode_f,omp_threads_f,alg,mtype,k,tol,dname,dfile,perm_mode,tensor_shape,time_transform_matrix,time_data_to_pystarm,compression_ratio,time_compress_ttm_total,time_slicewise_svd,time_slicewise_svdvals,time_thresholds,time_slicewise_svdks,time_reconstruct_matmul,time_reconstruct_ttm_total,absolute_err,relative_err,norm_original,norm_reconstructed
traffic_tsvdmii_0.0001_dct_0321_64,True,traffic,tsvdmii,0.0001,dct,0321,64,tsvdmii,dct,None,0.0001,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006814940134063363,8.687027730047703e-06,0.5287117561720902,0.04390125197824091,,0.01220055902376771,0.004911783034913242,0.13853503100108355,0.04482740897219628,0.01449997304007411,34.15261090524172,9.99317109128791e-05,341759.493490671,341759.49178420653
traffic_tsvdmii_0.0001_eye_0123_64,False,traffic,tsvdmii,0.0001,eye,0123,64,tsvdmii,eye,None,0.0001,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.2550811991095543e-06,3.8143014535307884e-05,0.5700019643296861,,,0.030703090014867485,0.003314391942694783,0.1145795329939574,0.04842052806634456,,,,,
traffic_tsvdmii_0.0001_eye_0321_64,False,traffic,tsvdmii,0.0001,eye,0321,64,tsvdmii,eye,None,0.0001,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.3150350898504257e-06,3.957608714699745e-05,0.5229277964721439,,,0.05242893798276782,0.004800086957402527,0.1388600979698822,0.04961175506468862,,,,,
traffic_tsvdmii_0.0001_hosvd_0123_64,True,traffic,tsvdmii,0.0001,hosvd,0123,64,tsvdmii,hosvd,None,0.0001,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.5652636819286272,2.259307075291872e-05,0.57050433177204,0.048499729949980974,,0.013765175943262875,0.011226429953239858,0.10212318098638207,0.04455055401194841,0.012181563070043921,33.86557862577683,9.909184461821324e-05,341759.493490671,341759.4918127696
traffic_tsvdmii_0.0001_hosvd_0321_64,True,traffic,tsvdmii,0.0001,hosvd,0321,64,tsvdmii,hosvd,None,0.0001,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.5793577240547165,2.271309494972229e-05,0.5128019082284897,0.07474435190670192,,0.013235204038210213,0.004888897994533181,0.1348116509616375,0.05298772593960166,0.014014535932801664,34.14001280505123,9.98948484396181e-05,341759.493490671,341759.491785465
traffic_tsvdmii_0.001_dct_0123_64,True,traffic,tsvdmii,0.001,dct,0123,64,tsvdmii,dct,None,0.001,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0005263149505481124,8.746981620788574e-06,0.7153245345241886,0.041874723974615335,,0.011504955939017236,0.0036106619518250227,0.09074067103210837,0.04667667404282838,0.012923873960971832,341.67445165940467,0.0009997511646848557,341759.493490671,341759.32269591256
traffic_tsvdmii_0.001_dct_0321_64,True,traffic,tsvdmii,0.001,dct,0321,64,tsvdmii,dct,None,0.001,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006572779966518283,9.187031537294388e-06,0.6675472005705056,0.04166056192480028,,0.011550955008715391,0.004932802985422313,0.11924129398539662,0.047841591062024236,0.01565421896521002,341.6875654413552,0.000999789536060634,341759.493490671,341759.322682802
traffic_tsvdmii_0.001_eye_0123_64,False,traffic,tsvdmii,0.001,eye,0123,64,tsvdmii,eye,None,0.001,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.3049069568514824e-06,3.794289659708738e-05,0.5929482395305002,,,0.031310851918533444,0.0033316350309178233,0.11035456496756524,0.0482770309317857,,,,,
traffic_tsvdmii_0.001_eye_0321_64,False,traffic,tsvdmii,0.001,eye,0321,64,tsvdmii,eye,None,0.001,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.403976395726204e-06,4.095898475497961e-05,0.6290824488454125,,,0.030190441058948636,0.004778085043653846,0.11937666404992342,0.0495283940108493,,,,,
traffic_tsvdmii_0.001_hosvd_0123_64,True,traffic,tsvdmii,0.001,hosvd,0123,64,tsvdmii,hosvd,None,0.001,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.5820762841030955,2.258399035781622e-05,0.5954890156313282,0.054893399006687105,,0.016224920051172376,0.004217051900923252,0.10204473999328911,0.04160991299431771,0.013371726963669062,341.48328568493184,0.0009991918064867255,341759.493490671,341759.32288697775
