filename,complete,dname_f,alg_f,k_or_tol_f,mtype_f,perm_mode_f,omp_threads_f,run_id,alg,mtype,k,tol,dname,dfile,perm_mode,tensor_shape,time_transform_matrix,time_data_to_pystarm,compression_ratio,time_compress_ttm_total,time_slicewise_svd,time_slicewise_svdvals,time_thresholds,time_slicewise_svdks,time_reconstruct_matmul,time_reconstruct_ttm_total,absolute_err,relative_err,norm_original,norm_reconstructed
cfd_tsvdmii_0.050_dct_01234_8_run3,True,cfd,tsvdmii,0.050,dct,01234,8,run3,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0011386350088287145,9.876996045932174e-06,5.400976454760175,0.77716748896637,,2.237690735986689,0.12515705300029367,5.332002999988617,1.0514432349882554,0.7218144849757664,214.32610342301103,0.049999511863813476,4286.563916999496,4281.202463783913
cfd_tsvdmii_0.05_dct_01234_16_run1,True,cfd,tsvdmii,0.05,dct,01234,16,run1,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0020537100499495864,1.0070973075926304e-05,5.400976454760175,0.5036505770403892,,1.1271475329995155,0.12456826504785568,3.106959669967182,1.0872429700102657,0.45721554395277053,214.32610342301126,0.04999951186381515,4286.5639169993565,4281.202463783908
cfd_tsvdmii_0.05_dct_01234_16_run2,True,cfd,tsvdmii,0.05,dct,01234,16,run2,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0020741599146276712,1.1652940884232521e-05,5.400976454760175,0.5029900270747021,,1.1299430329818279,0.1270863269455731,3.0703949910821393,1.1111575540853664,0.45782993908505887,214.32610342301126,0.04999951186381515,4286.5639169993565,4281.202463783908
cfd_tsvdmii_0.05_dct_01234_16_run3,True,cfd,tsvdmii,0.05,dct,01234,16,run3,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.001110582030378282,1.015199813991785e-05,5.400976454760175,0.5014553959481418,,1.1279045729897916,0.12630955094937235,3.1078789950115606,1.115255429991521,0.45918327500112355,214.32610342301126,0.04999951186381515,4286.5639169993565,4281.202463783908
cfd_tsvdmii_0.05_dct_01234_1_run1,True,cfd,tsvdmii,0.05,dct,01234,1,run1,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0011628370266407728,8.853035978972912e-06,5.400976454760175,5.6040162581484765,,16.822527728043497,0.12175126594956964,39.20356611395255,1.2078472139546648,5.284961487050168,214.32610342301223,0.04999951186380266,4286.563917000447,4281.2024637838185
cfd_tsvdmii_0.05_dct_01234_1_run2,True,cfd,tsvdmii,0.05,dct,01234,1,run2,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.001970652025192976,8.511007763445377e-06,5.400976454760175,5.583527175011113,,16.47022110596299,0.12200315704103559,39.21236973500345,1.207903859904036,5.2811416637850925,214.32610342301223,0.04999951186380266,4286.563917000447,4281.2024637838185
cfd_tsvdmii_0.05_dct_01234_1_run3,True,cfd,tsvdmii,0.05,dct,01234,1,run3,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0019988230196759105,9.516021236777306e-06,5.400976454760175,5.560884938924573,,16.43747025798075,0.12121337198186666,39.208049947978,1.2073965400923043,5.283135188859887,214.32610342301223,0.04999951186380266,4286.563917000447,4281.2024637838185
cfd_tsvdmii_0.05_dct_01234_2_run1,True,cfd,tsvdmii,0.05,dct,01234,2,run1,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.001181496074423194,9.182957001030445e-06,5.400976454760175,2.827303041005507,,8.419803755939938,0.1240003970451653,19.89104135602247,1.177616803906858,2.660869880928658,214.3261034230107,0.04999951186380749,4286.563917000002,4281.202463783869
cfd_tsvdmii_0.05_dct_01234_2_run2,True,cfd,tsvdmii,0.05,dct,01234,2,run2,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.0011886729625985026,8.555012755095959e-06,5.400976454760175,2.8357307420810685,,8.82177864795085,0.1258538190741092,20.02929554891307,1.1794662090251222,2.653146252851002,214.3261034230107,0.04999951186380749,4286.563917000002,4281.202463783869
cfd_tsvdmii_0.05_dct_01234_2_run3,True,cfd,tsvdmii,0.05,dct,01234,2,run3,tsvdmii,dct,None,0.05,cfd,/lus/flare/projects/DFTCalc2/starM-HPC/starMData/cfd,"(0, 1, 2, 3, 4)","(253, 253, 253, 4, 6)",0.001166395959444344,9.249080903828144e-06,5.400976454760175,2.8283183199819177,,8.82831955992151,0.12460531399119645,20.043915805057622,1.178536806954071,2.658753184019588,214.3261034230107,0.04999951186380749,4286.563917000002,4281.202463783869
